seconds;microseconds;left_x;right_x;groundsteering;
1584543191;317862;137;495;-0;
1584543191;417604;49;483;0.188939;
1584543191;517409;-1;492;-0;
1584543191;618173;-1;520;-0;
1584543191;719585;-1;623;-0;
1584543191;817399;-1;490;-0;
1584543191;920859;-1;515;-0;
1584543192;17861;183;550;-0;
1584543192;117222;160;588;-0;
1584543192;219876;135;644;-0;
1584543192;317436;98;-1;-0.0959654;
1584543192;417111;23;540;-0;
1584543192;517427;-1;562;-0;
1584543192;618050;203;549;-0;
1584543192;719427;176;561;-0;
1584543192;817229;109;591;-0;
1584543192;917064;65;632;-0;
1584543193;17201;49;-1;-0;
1584543193;117295;-1;-1;-0;
1584543193;219238;-1;492;-0;
1584543193;316964;-1;504;-0;
1584543193;417187;130;525;-0;
1584543193;517127;95;535;-0;
1584543193;617877;10;586;-0;
1584543193;719389;-1;-1;-0;
1584543193;816911;-1;428;-0;
1584543193;916881;85;408;-0;
1584543194;17049;15;431;0.143957;
1584543194;116856;-1;410;-0;
1584543194;219092;-1;443;-0;
1584543194;316962;-1;554;-0;
1584543194;416762;-1;598;-0;
1584543194;516752;123;408;-0;
1584543194;617581;101;449;-0;
1584543194;718887;44;420;0.290888;
1584543194;817306;40;500;-0;
1584543194;917033;-1;549;-0;
1584543195;16665;-1;641;-0;
1584543195;116661;280;606;-0;
1584543195;218912;282;-1;-0;
1584543195;316599;271;-1;-0.014994;
1584543195;416579;155;-1;-0.00599229;
1584543195;519407;99;-1;-0.0959654;
1584543195;620548;4;-1;-0.113951;
1584543195;718871;377;-1;-0.242905;
1584543195;816876;200;-1;-0.242905;
1584543195;916667;49;-1;-0.236913;
1584543196;16478;224;-1;-0.191931;
1584543196;116667;103;-1;-0.0989571;
1584543196;218536;410;-1;-0.0509744;
1584543196;316665;105;-1;-0;
1584543196;418935;303;-1;-0.140948;
1584543196;617637;261;-1;-0.143948;
1584543196;718916;60;-1;-0.281895;
1584543196;816352;326;-1;-0.290888;
1584543196;916345;221;-1;-0.290888;
1584543197;16465;-1;-1;-0.290888;
1584543197;116323;-1;-1;-0.290888;
1584543197;218552;302;-1;-0.290888;
1584543197;316664;207;-1;-0;
1584543197;416178;66;-1;-0;
1584543197;516275;-1;-1;-0;
1584543197;617017;157;-1;-0;
1584543197;718160;128;458;0.290888;
1584543197;816267;73;472;-0;
1584543197;916280;57;485;-0;
1584543198;18981;76;583;-0;
1584543198;116235;60;-1;-0;
1584543198;218619;-1;-1;-0;
1584543198;316001;247;560;-0;
1584543198;416002;209;594;-0;
1584543198;516214;197;632;-0;
1584543198;616632;213;-1;-0;
1584543198;717999;130;-1;-0.152941;
1584543198;819659;132;-1;-0;
1584543198;918215;-1;-1;-0;
1584543199;16267;261;566;-0.0239869;
1584543199;116210;215;580;-0;
1584543199;217930;185;611;-0;
1584543199;316048;153;650;-0;
1584543199;416428;77;-1;-0;
1584543199;515803;231;-1;-0;
1584543199;616422;125;552;-0;
1584543199;718439;126;579;-0;
1584543199;815800;62;626;-0;
1584543199;916003;179;465;-0;
1584543200;15983;156;555;-0;
1584543200;115991;119;591;-0;
1584543200;217899;70;651;-0.104958;
1584543200;316310;165;538;-0.14994;
1584543200;418744;139;597;-0;
1584543200;516207;116;596;-0;
1584543200;617192;-1;593;-0.0509744;
1584543200;718154;288;562;-0.00299171;
1584543200;815680;134;622;-0.00299171;
1584543200;915873;90;639;-0;
1584543201;15503;65;626;-0;
1584543201;115635;222;-1;-0;
1584543201;221473;206;-1;-0.170936;
1584543201;316673;335;-1;-0.110959;
1584543201;415522;157;-1;-0;
1584543201;515709;27;-1;-0.0179858;
1584543201;616118;240;-1;-0.0179858;
